Price,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-25,269.89300537109375,492.1589660644531,1567.9622802734375,344.6374206542969,598.1871948242188,551.5260009765625,1579.1446533203125,170.185791015625,273.842665487144,495.4462874026699,1587.5528395486956,351.8253892590872,604.3710007806147,559.8033178284057,1590.818839284727,175.7358555495739,265.0656562158911,490.75011406236024,1561.8931661055333,342.08059661308135,593.19105953809,546.8340617705471,1562.8664669148661,168.9087806393703,266.8210640141281,491.4545400634067,1572.603290673114,349.6062911812134,596.2624664739103,553.4957691968117,1563.6885955139796,172.83803411159252,6040052,11262236,1131790,22978238,5543112,18703992,2327080,12136892
2019-01-28,267.8304138183594,489.37640380859375,1555.645751953125,331.4674377441406,596.2215576171875,544.2446899414062,1607.26123046875,169.25259399414062,271.5167553548579,493.5795128576691,1581.1269694961697,342.41826753657205,600.0300724357103,555.9303361110078,1613.0161300151854,172.24865272343143,258.65845631728376,487.6388428042501,1553.1021188989462,324.810114563864,588.8911226569757,541.0798348240664,1583.0084395230579,166.40387627247384,270.3318810895065,490.75005728223556,1569.8366902409548,340.77807369335596,598.7196253995122,553.5179429525717,1589.1744033228101,170.23490734873354,4546062,15360436,1289774,34362360,7944693,18744303,2769033,8167430
2019-01-29,270.2001953125,483.1423034667969,1567.8729248046875,334.6513671875,596.1806030273438,535.8787841796875,1630.0755615234375,170.5296173095703,271.78004732478325,489.1064202746107,1574.2543957457112,337.7870653977367,600.2348203314026,545.1741968816506,1635.255012100228,171.80661277643617,264.8023131173281,482.0621607411309,1540.5621292480125,329.344800985561,586.843505621456,531.7622569321205,1592.1754512778373,167.87735905952363,267.6987282864671,487.99107918180977,1557.4305970459359,330.8885352240723,594.2148825238887,544.8864613246026,1613.0163922375411,169.30172552303515,3210022,14762788,1319822,20738442,6760819,20405845,2557626,6141180
2019-01-30,266.5577392578125,477.7651672363281,1547.032958984375,353.03143310546875,594.5425415039062,529.2613525390625,1628.9659423828125,171.51193237304688,274.6325852232685,483.0601139646413,1571.487766981936,355.63648693096883,601.8319844969104,542.2306681873968,1635.6251652560566,173.62390027044586,263.3980350138968,476.1919606855232,1542.3472791452978,338.6554662121029,590.6111003499817,527.225220095184,1606.9739980899753,170.23492190509964,271.2095623857159,483.0601139646413,1570.8183841477821,338.6554662121029,596.1806253212579,537.804303586863,1627.4860704743073,171.21723534368775,6553462,18514160,1259978,39400056,5763026,17164298,2429575,7757847
2019-01-31,268.9275817871094,488.3902587890625,1573.718994140625,351.6324157714844,613.9127807617188,543.1822509765625,1655.849365234375,177.99517822265625,272.4822643791722,490.6913951123749,1584.1167622975013,363.40332780370386,615.3461039340616,544.3109731722735,1660.494412378503,180.64742130266177,266.0750326685971,474.7831084661907,1548.7287024429431,341.64641624471966,594.6243560691161,531.6072935026506,1631.925440560133,172.6906920626452,267.25993677259646,476.8963863970491,1549.3088560043016,359.5922657727153,594.6243560691161,532.0499180704975,1633.5696979309744,172.6906920626452,9493241,16579404,1880257,85917249,13825233,22279301,4094319,22277646
2019-02-01,273.71099853515625,490.855712890625,1605.8941650390625,342.17706298828125,620.0556640625,553.2744750976562,1668.879638671875,178.43724060058594,281.6542148851191,497.08989378431465,1635.5254696684487,352.06657364947023,624.5194524419586,555.5098184046919,1672.8258954499124,182.61207295970317,267.69874556923645,487.6036476034212,1572.1125559005986,336.4845700575269,609.7766981548041,543.1381334083609,1642.69486711291,176.37439125178255,267.78653824664303,488.39022215622003,1573.7191183590137,351.68064741496363,615.387115206831,546.2144636186489,1652.0671516926398,178.7810563198437,9243929,15654188,2342251,25605469,6276585,20187323,3064163,14931422
2019-02-04,269.0592346191406,494.24871826171875,1608.839111328125,342.0805969238281,619.1138305664062,571.4005126953125,1685.5693359375,177.06199645996094,272.7455764361686,496.1506913103842,1627.0463439886735,344.3479541889331,624.5194874452003,574.0784806662556,1689.844364955271,180.4509748091234,265.2412334915138,489.0242256532682,1601.788257877592,333.8313090134925,613.6262394983253,549.7776764638679,1663.1663292776796,175.0482509226891,272.0872798831746,491.92413549231185,1606.4293769983678,338.6554608778493,620.0147567160874,551.9686981888808,1668.8800834937877,177.7987315353838,3895812,7938288,1116390,17039321,3945391,25528059,1590764,11854351
2019-02-05,270.50738525390625,496.3973693847656,1625.6632080078125,340.2474060058594,618.2538452148438,571.6881713867188,1680.88330078125,172.69070434570312,273.5354597638967,497.5596610446362,1637.7120997679103,343.5760823831387,622.43098948683,577.3761052108845,1689.4745056915194,177.94607221362568,257.0346871371896,492.3938693773488,1610.9367847454707,336.5810625724576,611.8243853912792,565.9560341911196,1667.2770304342587,171.61015357492323,259.27280590723734,494.9767652109925,1610.9814538501223,342.12883690506675,611.8243853912792,571.8873820352513,1685.3638621253601,177.50403416700243,14678663,8690288,1278708,12197271,4694366,20479210,1111404,12064426
2019-02-06,270.99017333984375,498.41656494140625,1633.2493896484375,346.66351318359375,625.1746215820312,579.96533203125,1705.75244140625,175.34292602539062,272.5261590310459,499.4380055136804,1639.0507073434467,349.1720778392176,628.1641442707773,583.2408718820504,1715.65913107461,176.2761206731216,264.1879934501416,496.2915924903421,1624.3689546026103,340.77807194006743,617.8441871733214,572.8831619666711,1678.0056014493216,168.8596521767863,269.4541876486416,496.91381249098555,1631.8660638751965,341.1639981691748,618.8270473717,573.7684110639683,1685.281319053479,172.88714274772408,5202682,10875684,859789,15396216,5880482,20586783,1789812,10334594
2019-02-07,273.0966491699219,497.1486511230469,1641.371337890625,346.036376953125,625.7479858398438,571.1791381835938,1712.41162109375,179.6160125732422,275.9491684072941,500.1424616328208,1646.6817313307533,349.0755864719143,630.2117740091531,584.8123314865187,1724.7846969589466,181.72798040399363,267.874321858476,494.4718552448418,1631.8214109899143,343.9619977224773,623.2908602409962,569.2757931615276,1699.3398563310477,175.73586262213456,270.85850040217827,498.9801701942932,1636.8641166724128,346.4705623605022,624.9698860688056,579.9654440045323,1705.711353131515,175.8340999584587,3852519,7217308,927434,10247434,3961797,20150710,1339945,16152722
