,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1521,2025-04-15,1765.1386375567056,1689.7239421607935,1815.526658554467,1765.1386375567056,1765.1386375567056,-10.174632708039319,-10.174632708039319,-10.174632708039319,-10.174632708039319,-10.174632708039319,-10.174632708039319,0.0,0.0,0.0,1754.9640048486663
1522,2025-04-16,1766.150887438474,1693.7729499554048,1819.3745190193672,1766.150887438474,1766.150887438474,-8.973571642205222,-8.973571642205222,-8.973571642205222,-8.973571642205222,-8.973571642205222,-8.973571642205222,0.0,0.0,0.0,1757.1773157962689
1523,2025-04-17,1767.1631373202422,1699.0687781257661,1819.236663561045,1767.1631373202422,1767.1631373202422,-7.785372701646015,-7.785372701646015,-7.785372701646015,-7.785372701646015,-7.785372701646015,-7.785372701646015,0.0,0.0,0.0,1759.377764618596
1524,2025-04-21,1771.2121368473156,1706.3058445363072,1828.0834262961623,1771.2121368473156,1771.2121368473156,-3.409160032099946,-3.409160032099946,-3.409160032099946,-3.409160032099946,-3.409160032099946,-3.409160032099946,0.0,0.0,0.0,1767.8029768152157
1525,2025-04-22,1772.2243867290838,1705.3153831928134,1831.9959267735783,1772.2243867290838,1772.2243867290838,-2.4732430428363896,-2.4732430428363896,-2.4732430428363896,-2.4732430428363896,-2.4732430428363896,-2.4732430428363896,0.0,0.0,0.0,1769.7511436862474
1526,2025-04-23,1773.2366366108527,1710.8650306472498,1832.8972923854567,1773.2366366108527,1773.2366366108527,-1.6243077221481517,-1.6243077221481517,-1.6243077221481517,-1.6243077221481517,-1.6243077221481517,-1.6243077221481517,0.0,0.0,0.0,1771.6123288887045
1527,2025-04-24,1774.2488864926208,1709.027360272675,1830.5670471494236,1774.2488864926208,1774.2488864926208,-0.8720282768381884,-0.8720282768381884,-0.8720282768381884,-0.8720282768381884,-0.8720282768381884,-0.8720282768381884,0.0,0.0,0.0,1773.3768582157827
1528,2025-04-25,1775.2611363743893,1715.8029865652031,1834.6010452310281,1775.2611363743893,1775.2611363743893,-0.22420855400233153,-0.22420855400233153,-0.22420855400233153,-0.22420855400233153,-0.22420855400233153,-0.22420855400233153,0.0,0.0,0.0,1775.0369278203868
1529,2025-04-28,1778.2978860196947,1714.5615429300976,1844.3330949362903,1778.2978860196947,1778.2978860196947,1.0482312040664707,1.0482312040664707,1.0482312040664707,1.0482312040664707,1.0482312040664707,1.0482312040664707,0.0,0.0,0.0,1779.3461172237612
1530,2025-04-29,1779.310135901463,1720.8508836671274,1845.2354748891692,1779.310135901463,1779.310135901463,1.2463883969094014,1.2463883969094014,1.2463883969094014,1.2463883969094014,1.2463883969094014,1.2463883969094014,0.0,0.0,0.0,1780.5565242983723
1531,2025-04-30,1780.3223857832313,1720.1068034988116,1841.639901825933,1780.3223857832313,1780.3223857832313,1.336807125474762,1.336807125474762,1.336807125474762,1.336807125474762,1.336807125474762,1.336807125474762,0.0,0.0,0.0,1781.659192908706
1532,2025-05-02,1782.346885546768,1719.1304246212526,1849.1814817911536,1782.346885546768,1782.346885546768,1.2241924118939336,1.2241924118939336,1.2241924118939336,1.2241924118939336,1.2241924118939336,1.2241924118939336,0.0,0.0,0.0,1783.5710779586618
1533,2025-05-05,1785.3836351920734,1723.1966402261587,1849.9726196577226,1785.3836351920734,1785.3836351920734,0.4861247948113416,0.4861247948113416,0.4861247948113416,0.4861247948113416,0.4861247948113416,0.4861247948113416,0.0,0.0,0.0,1785.8697599868847
1534,2025-05-06,1786.3958850738418,1725.7928949522347,1845.5916118199516,1786.3958850738418,1786.3958850738418,0.14250389300260455,0.14250389300260455,0.14250389300260455,0.14250389300260455,0.14250389300260455,0.14250389300260455,0.0,0.0,0.0,1786.5383889668444
1535,2025-05-07,1787.40813495561,1724.9930583199416,1847.7274991308784,1787.40813495561,1787.40813495561,-0.22494935258332519,-0.22494935258332519,-0.22494935258332519,-0.22494935258332519,-0.22494935258332519,-0.22494935258332519,0.0,0.0,0.0,1787.1831856030267
1536,2025-05-08,1788.4203848373784,1728.2358406253763,1846.9305709996295,1788.4203848373784,1788.4203848373784,-0.6010964490557376,-0.6010964490557376,-0.6010964490557376,-0.6010964490557376,-0.6010964490557376,-0.6010964490557376,0.0,0.0,0.0,1787.8192883883225
1537,2025-05-09,1789.4326347191468,1721.7390711600287,1850.1513197656623,1789.4326347191468,1789.4326347191468,-0.9713295015220114,-0.9713295015220114,-0.9713295015220114,-0.9713295015220114,-0.9713295015220114,-0.9713295015220114,0.0,0.0,0.0,1788.4613052176248
1538,2025-05-12,1792.469384364452,1729.6774583475963,1856.0907676153954,1792.469384364452,1792.469384364452,-1.917230181846397,-1.917230181846397,-1.917230181846397,-1.917230181846397,-1.917230181846397,-1.917230181846397,0.0,0.0,0.0,1790.5521541826056
1539,2025-05-13,1793.4816342462204,1730.1272943793613,1855.0981793715002,1793.4816342462204,1793.4816342462204,-2.142614824550387,-2.142614824550387,-2.142614824550387,-2.142614824550387,-2.142614824550387,-2.142614824550387,0.0,0.0,0.0,1791.33901942167
1540,2025-05-14,1794.4938841279893,1731.6747838004978,1851.5151753238515,1794.4938841279893,1794.4938841279893,-2.310606425228849,-2.310606425228849,-2.310606425228849,-2.310606425228849,-2.310606425228849,-2.310606425228849,0.0,0.0,0.0,1792.1832777027605
1541,2025-05-15,1795.5061340097575,1737.2861628392716,1853.4772265831782,1795.5061340097575,1795.5061340097575,-2.4171779723973206,-2.4171779723973206,-2.4171779723973206,-2.4171779723973206,-2.4171779723973206,-2.4171779723973206,0.0,0.0,0.0,1793.0889560373603
1542,2025-05-16,1796.518383891526,1730.855991151985,1856.4020051704033,1796.518383891526,1796.518383891526,-2.4607124888753504,-2.4607124888753504,-2.4607124888753504,-2.4607124888753504,-2.4607124888753504,-2.4607124888753504,0.0,0.0,0.0,1794.0576714026506
1543,2025-05-19,1799.555133536831,1730.6976763672967,1857.0144504882103,1799.555133536831,1799.555133536831,-2.2320075847070964,-2.2320075847070964,-2.2320075847070964,-2.2320075847070964,-2.2320075847070964,-2.2320075847070964,0.0,0.0,0.0,1797.3231259521237
1544,2025-05-20,1800.567383418599,1734.2275316426512,1859.2791180340826,1800.567383418599,1800.567383418599,-2.052904959897583,-2.052904959897583,-2.052904959897583,-2.052904959897583,-2.052904959897583,-2.052904959897583,0.0,0.0,0.0,1798.5144784587014
1545,2025-05-21,1801.5796333003675,1734.7133299133504,1861.131054498322,1801.5796333003675,1801.5796333003675,-1.835233091497925,-1.835233091497925,-1.835233091497925,-1.835233091497925,-1.835233091497925,-1.835233091497925,0.0,0.0,0.0,1799.7444002088696
1546,2025-05-22,1802.5918831821357,1739.2770838205633,1863.8653598015487,1802.5918831821357,1802.5918831821357,-1.5886577354066378,-1.5886577354066378,-1.5886577354066378,-1.5886577354066378,-1.5886577354066378,-1.5886577354066378,0.0,0.0,0.0,1801.003225446729
1547,2025-05-23,1803.6041330639046,1743.3970051716765,1861.4832079984847,1803.6041330639046,1803.6041330639046,-1.3235889641481853,-1.3235889641481853,-1.3235889641481853,-1.3235889641481853,-1.3235889641481853,-1.3235889641481853,0.0,0.0,0.0,1802.2805440997563
1548,2025-05-26,1806.6408827092096,1746.5640373219228,1867.419253713253,1806.6408827092096,1806.6408827092096,-0.5235161276452059,-0.5235161276452059,-0.5235161276452059,-0.5235161276452059,-0.5235161276452059,-0.5235161276452059,0.0,0.0,0.0,1806.1173665815643
1549,2025-05-27,1807.6531325909784,1747.5407280575496,1870.5672325239211,1807.6531325909784,1807.6531325909784,-0.28816334716057473,-0.28816334716057473,-0.28816334716057473,-0.28816334716057473,-0.28816334716057473,-0.28816334716057473,0.0,0.0,0.0,1807.3649692438178
1550,2025-05-28,1808.6653824727466,1744.8213682932073,1868.832858894525,1808.6653824727466,1808.6653824727466,-0.08230882410016295,-0.08230882410016295,-0.08230882410016295,-0.08230882410016295,-0.08230882410016295,-0.08230882410016295,0.0,0.0,0.0,1808.5830736486464
1551,2025-05-29,1809.677632354515,1746.8975621155935,1874.068430849224,1809.677632354515,1809.677632354515,0.08810621040276244,0.08810621040276244,0.08810621040276244,0.08810621040276244,0.08810621040276244,0.08810621040276244,0.0,0.0,0.0,1809.7657385649177
1552,2025-05-30,1810.6898822362832,1751.99739473355,1878.1140072605083,1810.6898822362832,1810.6898822362832,0.21912128879320972,0.21912128879320972,0.21912128879320972,0.21912128879320972,0.21912128879320972,0.21912128879320972,0.0,0.0,0.0,1810.9090035250765
1553,2025-06-02,1813.7266318815887,1752.569444359216,1878.1138385880156,1813.7266318815887,1813.7266318815887,0.36956154735804647,0.36956154735804647,0.36956154735804647,0.36956154735804647,0.36956154735804647,0.36956154735804647,0.0,0.0,0.0,1814.0961934289467
1554,2025-06-03,1814.738881763357,1755.4984899129681,1878.4877590149567,1814.738881763357,1814.738881763357,0.3483741936336031,0.3483741936336031,0.3483741936336031,0.3483741936336031,0.3483741936336031,0.3483741936336031,0.0,0.0,0.0,1815.0872559569907
1555,2025-06-04,1815.7511316451253,1754.8031677309405,1881.2015158051954,1815.7511316451253,1815.7511316451253,0.3019243043054205,0.3019243043054205,0.3019243043054205,0.3019243043054205,0.3019243043054205,0.3019243043054205,0.0,0.0,0.0,1816.0530559494307
1556,2025-06-05,1816.7633815268937,1751.180791964938,1878.1974968175393,1816.7633815268937,1816.7633815268937,0.23950097659034883,0.23950097659034883,0.23950097659034883,0.23950097659034883,0.23950097659034883,0.23950097659034883,0.0,0.0,0.0,1817.002882503484
1557,2025-06-06,1817.775631408662,1760.096170458755,1881.5846708908698,1817.775631408662,1817.775631408662,0.172051218143829,0.172051218143829,0.172051218143829,0.172051218143829,0.172051218143829,0.172051218143829,0.0,0.0,0.0,1817.947682626806
1558,2025-06-09,1820.8123810539676,1757.1946394006743,1885.1551954552926,1820.8123810539676,1820.8123810539676,0.06593162506438605,0.06593162506438605,0.06593162506438605,0.06593162506438605,0.06593162506438605,0.06593162506438605,0.0,0.0,0.0,1820.878312679032
1559,2025-06-10,1821.8246309357357,1757.8526592552168,1883.305671407622,1821.8246309357357,1821.8246309357357,0.10729361460612816,0.10729361460612816,0.10729361460612816,0.10729361460612816,0.10729361460612816,0.10729361460612816,0.0,0.0,0.0,1821.9319245503418
